Procs	1
0	4294966711	39180.400000
1	4294966932	36892.400000
2	4294965904	37175.100000
3	4294966781	24996.200000
4	4294966640	23973.400000
5	4294967144	23821.000000
6	4294966988	23829.500000
7	4294966831	23433.900000
8	4294966580	23029.500000
9	4294967126	23083.200000
Procs	2
0	4294965657	27608.000000
1	4294967279	24050.600000
2	4294966962	20209.300000
3	4294967207	15622.200000
4	4294966532	15324.400000
5	4294966950	15091.000000
6	4294966620	15369.900000
7	4294966769	15753.500000
8	4294967155	15732.200000
9	4294966458	15911.000000
Procs	3
0	4294967252	16862.500000
1	4294966965	17419.400000
2	4294966655	22126.400000
3	4294965786	16113.800000
4	4294966423	16386.100000
5	4294967236	14680.800000
6	4294967063	17821.700000
7	4294966837	12229.800000
8	4294966975	12351.300000
9	4294967215	12633.800000
Procs	4
0	4294966757	19336.000000
1	4294967236	18662.600000
2	4294966805	15381.400000
3	4294967187	18740.100000
4	4294967137	12753.400000
5	4294967070	12903.400000
6	4294966765	12975.500000
7	4294967060	12341.500000
8	4294967132	11967.500000
9	4294966905	12542.800000
Procs	5
0	4294966917	15097.200000
1	4294966304	15384.400000
2	4294967212	17899.600000
3	4294966187	16290.500000
4	4294966187	16660.600000
5	4294966352	19244.700000
6	4294967219	18837.100000
7	4294967222	13820.400000
8	4294966848	12639.600000
9	4294966447	11398.300000
Procs	6
0	4294967182	12164.400000
1	4294965975	12451.500000
2	4294967255	11497.300000
3	4294967288	12990.600000
4	4294966730	11682.000000
5	4294966898	11866.300000
6	4294966639	12924.400000
7	4294966291	11182.000000
8	4294967207	11160.900000
9	4294967038	12469.800000
Procs	7
0	4294967234	13775.600000
1	4294966872	11697.900000
2	4294967074	12291.600000
3	4294966608	12376.800000
4	4294966616	13354.900000
5	4294967109	14795.100000
6	4294966930	14455.700000
7	4294967005	11713.100000
8	4294967017	11709.300000
9	4294967169	11088.000000
Procs	8
0	4294967241	12691.400000
1	4294966885	13284.600000
2	4294966954	17011.900000
3	4294967098	13627.000000
4	4294966882	17262.600000
5	4294967145	16417.700000
6	4294966725	16736.800000
7	4294967226	11744.000000
8	4294966702	11619.100000
9	4294967272	12068.800000
Procs	9
0	4294966906	12395.200000
1	4294966340	15805.800000
2	4294967181	16592.600000
3	4294967248	22857.700000
4	4294967119	17940.200000
5	4294966924	19457.800000
6	4294965711	13796.800000
7	4294966610	12624.000000
8	4294967036	13795.400000
9	4294966917	14855.100000
Procs	10
0	4294967007	18313.800000
1	4294967287	17886.100000
2	4294966557	16733.800000
3	4294967031	17100.900000
4	4294966660	12639.000000
5	4294967181	13169.100000
6	4294967246	12522.600000
7	4294967175	14800.500000
8	4294967004	17042.000000
9	4294966655	12969.200000
Procs	11
0	4294967122	14459.800000
1	4294967119	14892.500000
2	4294967096	15148.700000
3	4294966380	15296.500000
4	4294966645	15488.300000
5	4294967213	18779.600000
6	4294966491	21198.700000
7	4294967142	16500.200000
8	4294967146	16907.500000
9	4294966921	18989.500000
Procs	12
0	4294966954	16904.300000
1	4294967228	17534.600000
2	4294966384	19532.100000
3	4294967175	14505.700000
4	4294966643	15037.500000
5	4294966625	13985.700000
6	4294967084	14909.700000
7	4294967018	11584.300000
8	4294966855	13189.100000
9	4294967203	12753.600000
Procs	13
0	4294966569	17749.600000
1	4294966910	18815.400000
2	4294967033	19216.700000
3	4294966568	20049.000000
4	4294966825	19044.700000
5	4294966965	13920.000000
6	4294966212	15233.600000
7	4294967273	12838.300000
8	4294967054	14021.600000
9	4294967272	13342.400000
Procs	14
0	4294967284	17852.900000
1	4294967216	13436.700000
2	4294967266	12040.800000
3	4294966707	15025.000000
4	4294967288	13252.700000
5	4294966776	14209.700000
6	4294967008	13520.900000
7	4294966247	15662.600000
8	4294966705	15870.200000
9	4294967022	12815.300000
Procs	15
0	4294967242	17837.100000
1	4294967026	18835.600000
2	4294966853	17446.500000
3	4294966798	16086.800000
4	4294966946	14698.800000
5	4294967176	18607.900000
6	4294967219	16248.200000
7	4294966825	15949.800000
8	4294967122	13636.300000
9	4294967119	13039.800000
Procs	16
0	4294966065	17134.700000
1	4294967158	18958.800000
2	4294967240	16623.600000
3	4294966808	17511.100000
4	4294967053	15373.900000
5	4294967139	19123.000000
6	4294967126	21097.300000
7	4294966825	15746.800000
8	4294967136	14768.600000
9	4294967209	16043.300000
